Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('ARBTRY', 'buy'), ('ARBETH', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('ETHFDUSD', 'sell'), ('OPFDUSD', 'buy'), ('OPETH', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('ETHUSDT', 'sell'), ('WBTCUSDT', 'buy'), ('WBTCETH', 'sell')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('ETHUSDT', 'sell'), ('USDTZAR', 'sell'), ('ETHZAR', 'buy')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('ETHUSDT', 'sell'), ('RLCUSDT', 'buy'), ('RLCETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('ETHUSDT', 'sell'), ('POLUSDT', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('ETHUSDT', 'sell'), ('QTUMUSDT', 'buy'), ('QTUMETH', 'sell')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('DENTETH', 'buy'), ('DENTUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0074
Arbitrage Opportunity: Chain = [('DENTETH', 'buy'), ('DENTTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0088
Arbitrage Opportunity: Chain = [('SLPETH', 'buy'), ('SLPUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0113
Arbitrage Opportunity: Chain = [('SLPETH', 'buy'), ('SLPTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0116
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('ADXBTC', 'buy'), ('ADXETH', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('SBTC', 'buy'), ('SETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('OPBTC', 'buy'), ('OPETH', 'sell')], Profit Ratio = 1.0055
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('DASHBTC', 'buy'), ('DASHETH', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('EGLDBTC', 'buy'), ('EGLDETH', 'sell')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('WBTCBTC', 'buy'), ('WBTCETH', 'sell')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('BTCZAR', 'sell'), ('ETHZAR', 'buy')], Profit Ratio = 1.0055
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('XLMBTC', 'buy'), ('XLMETH', 'sell')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('VETBTC', 'buy'), ('VETETH', 'sell')], Profit Ratio = 1.0267
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('RLCBTC', 'buy'), ('RLCETH', 'sell')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('POLBTC', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0023
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('QTUMBTC', 'buy'), ('QTUMETH', 'sell')], Profit Ratio = 1.0031
Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('ZILBTC', 'buy'), ('ZILETH', 'sell')], Profit Ratio = 1.0115
Arbitrage Opportunity: Chain = [('ETHMXN', 'sell'), ('XRPMXN', 'buy'), ('XRPETH', 'sell')], Profit Ratio = 1.0112
Arbitrage Opportunity: Chain = [('ETHMXN', 'sell'), ('SOLMXN', 'buy'), ('SOLETH', 'sell')], Profit Ratio = 1.0072
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('ATOMEUR', 'buy'), ('ATOMETH', 'sell')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('ADAEUR', 'buy'), ('ADAETH', 'sell')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('SEUR', 'buy'), ('SETH', 'sell')], Profit Ratio = 1.0093
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('APTEUR', 'buy'), ('APTETH', 'sell')], Profit Ratio = 1.0060
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('GALAEUR', 'buy'), ('GALAETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('OPEUR', 'buy'), ('OPETH', 'sell')], Profit Ratio = 1.0066
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('XLMEUR', 'buy'), ('XLMETH', 'sell')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('POLEUR', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('ARBEUR', 'buy'), ('ARBETH', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('EGLDEUR', 'buy'), ('EGLDETH', 'sell')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('DOTEUR', 'buy'), ('DOTETH', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('ETHEUR', 'sell'), ('VETEUR', 'buy'), ('VETETH', 'sell')], Profit Ratio = 1.0023
Arbitrage Opportunity: Chain = [('SNTETH', 'buy'), ('SNTUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0076
Arbitrage Opportunity: Chain = [('POWRETH', 'buy'), ('POWRUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('CYBERETH', 'buy'), ('CYBERUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('CYBERETH', 'buy'), ('CYBERTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('SCETH', 'buy'), ('SCUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0034
Arbitrage Opportunity: Chain = [('IOTXETH', 'buy'), ('IOTXBTC', 'sell'), ('ETHBTC', 'buy')], Profit Ratio = 1.0146
Arbitrage Opportunity: Chain = [('ETHARS', 'sell'), ('SOLARS', 'buy'), ('SOLETH', 'sell')], Profit Ratio = 1.0043
Arbitrage Opportunity: Chain = [('SSVETH', 'buy'), ('SSVBTC', 'sell'), ('ETHBTC', 'buy')], Profit Ratio = 1.0080
Arbitrage Opportunity: Chain = [('SSVETH', 'buy'), ('SSVUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('ZILETH', 'buy'), ('ZILUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0054
Arbitrage Opportunity: Chain = [('ZILETH', 'buy'), ('ZILTRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0040
Arbitrage Opportunity: Chain = [('ETHTUSD', 'sell'), ('ARBTUSD', 'buy'), ('ARBETH', 'sell')], Profit Ratio = 1.0036
Arbitrage Opportunity: Chain = [('ETHTUSD', 'sell'), ('SOLTUSD', 'buy'), ('SOLETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALAUSDT', 'sell'), ('ETHUSDT', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALAUSDC', 'sell'), ('ETHUSDC', 'buy')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALATRY', 'sell'), ('ETHTRY', 'buy')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALABNB', 'sell'), ('BNBETH', 'sell')], Profit Ratio = 1.1229
Arbitrage Opportunity: Chain = [('GALAETH', 'buy'), ('GALAFDUSD', 'sell'), ('ETHFDUSD', 'buy')], Profit Ratio = 1.0034
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('NEARBNB', 'buy'), ('NEARETH', 'sell')], Profit Ratio = 1.0036
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('SBNB', 'buy'), ('SETH', 'sell')], Profit Ratio = 1.0104
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('RUNEBNB', 'buy'), ('RUNEETH', 'sell')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('AXSBNB', 'buy'), ('AXSETH', 'sell')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('CYBERBNB', 'buy'), ('CYBERETH', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('EGLDBNB', 'buy'), ('EGLDETH', 'sell')], Profit Ratio = 1.0050
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('ETCBNB', 'buy'), ('ETCETH', 'sell')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('POLBNB', 'buy'), ('POLETH', 'sell')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('BNBETH', 'buy'), ('INJBNB', 'buy'), ('INJETH', 'sell')], Profit Ratio = 1.0056
Arbitrage Opportunity: Chain = [('SHELLBTC', 'buy'), ('SHELLUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('LAYERBTC', 'buy'), ('LAYERFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('PYTHBTC', 'buy'), ('PYTHUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('ADXBTC', 'buy'), ('ADXUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('ADXBTC', 'buy'), ('ADXETH', 'sell'), ('ETHBTC', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('BLURBTC', 'buy'), ('BLURUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('BLURBTC', 'buy'), ('BLURUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0043
Arbitrage Opportunity: Chain = [('BLURBTC', 'buy'), ('BLURTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0048
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('USDTUAH', 'sell'), ('BTCUAH', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('LTOUSDT', 'buy'), ('LTOBTC', 'sell')], Profit Ratio = 1.0098
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('PERPUSDT', 'buy'), ('PERPBTC', 'sell')], Profit Ratio = 1.1278
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('CFXUSDT', 'buy'), ('CFXBTC', 'sell')], Profit Ratio = 1.0043
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('RAREUSDT', 'buy'), ('RAREBTC', 'sell')], Profit Ratio = 1.0090
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ALICEUSDT', 'buy'), ('ALICEBTC', 'sell')], Profit Ratio = 1.2602
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ALTUSDT', 'buy'), ('ALTBTC', 'sell')], Profit Ratio = 1.0053
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ARDRUSDT', 'buy'), ('ARDRBTC', 'sell')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ZROUSDT', 'buy'), ('ZROBTC', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('KAVAUSDT', 'buy'), ('KAVABTC', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('WANUSDT', 'buy'), ('WANBTC', 'sell')], Profit Ratio = 1.0091
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ETHFIUSDT', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2209
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ACAUSDT', 'buy'), ('ACABTC', 'sell')], Profit Ratio = 1.0112
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('TFUELUSDT', 'buy'), ('TFUELBTC', 'sell')], Profit Ratio = 1.0053
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('RIFUSDT', 'buy'), ('RIFBTC', 'sell')], Profit Ratio = 1.0089
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ASTRUSDT', 'buy'), ('ASTRBTC', 'sell')], Profit Ratio = 1.0045
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('GLMRUSDT', 'buy'), ('GLMRBTC', 'sell')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('PEOPLEUSDT', 'buy'), ('PEOPLEBTC', 'sell')], Profit Ratio = 1.0430
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('LQTYUSDT', 'buy'), ('LQTYBTC', 'sell')], Profit Ratio = 1.1241
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('GMTUSDT', 'buy'), ('GMTBTC', 'sell')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('FIOUSDT', 'buy'), ('FIOBTC', 'sell')], Profit Ratio = 1.0505
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('SFPUSDT', 'buy'), ('SFPBTC', 'sell')], Profit Ratio = 1.0074
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('CHZUSDT', 'buy'), ('CHZBTC', 'sell')], Profit Ratio = 1.0061
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('IOTXUSDT', 'buy'), ('IOTXBTC', 'sell')], Profit Ratio = 1.0127
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('STRAXUSDT', 'buy'), ('STRAXBTC', 'sell')], Profit Ratio = 1.0116
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('SXPUSDT', 'buy'), ('SXPBTC', 'sell')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('KMDUSDT', 'buy'), ('KMDBTC', 'sell')], Profit Ratio = 1.0029
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('DUSKUSDT', 'buy'), ('DUSKBTC', 'sell')], Profit Ratio = 1.0041
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('PHAUSDT', 'buy'), ('PHABTC', 'sell')], Profit Ratio = 1.0090
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('FLOWUSDT', 'buy'), ('FLOWBTC', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('SUPERUSDT', 'buy'), ('SUPERBTC', 'sell')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('NFPUSDT', 'buy'), ('NFPBTC', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('USDTMXN', 'sell'), ('BTCMXN', 'buy')], Profit Ratio = 1.0034
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('SKLUSDT', 'buy'), ('SKLBTC', 'sell')], Profit Ratio = 1.0118
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('ARPAUSDT', 'buy'), ('ARPABTC', 'sell')], Profit Ratio = 1.0284
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('OGNUSDT', 'buy'), ('OGNBTC', 'sell')], Profit Ratio = 1.0023
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('WOOUSDT', 'buy'), ('WOOBTC', 'sell')], Profit Ratio = 1.0058
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('MBOXUSDT', 'buy'), ('MBOXBTC', 'sell')], Profit Ratio = 1.2543
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('FISUSDT', 'buy'), ('FISBTC', 'sell')], Profit Ratio = 1.0094
Arbitrage Opportunity: Chain = [('BTCUSDT', 'sell'), ('IDEXUSDT', 'buy'), ('IDEXBTC', 'sell')], Profit Ratio = 1.2553
Arbitrage Opportunity: Chain = [('EIGENBTC', 'buy'), ('EIGENUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0106
Arbitrage Opportunity: Chain = [('EIGENBTC', 'buy'), ('EIGENUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0117
Arbitrage Opportunity: Chain = [('EIGENBTC', 'buy'), ('EIGENTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0118
Arbitrage Opportunity: Chain = [('EIGENBTC', 'buy'), ('EIGENFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0097
Arbitrage Opportunity: Chain = [('VIDTBTC', 'buy'), ('VIDTUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0107
Arbitrage Opportunity: Chain = [('LPTBTC', 'buy'), ('LPTUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('SNTBTC', 'buy'), ('SNTUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0068
Arbitrage Opportunity: Chain = [('SBTC', 'buy'), ('SUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('SBTC', 'buy'), ('SUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('SBTC', 'buy'), ('SETH', 'sell'), ('ETHBTC', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('SBTC', 'buy'), ('STRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0034
Arbitrage Opportunity: Chain = [('SBTC', 'buy'), ('SFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0036
Arbitrage Opportunity: Chain = [('LINKBTC', 'buy'), ('LINKTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0029
Arbitrage Opportunity: Chain = [('JSTBTC', 'buy'), ('JSTUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('ETHBTC', 'buy'), ('ZECETH', 'buy'), ('ZECBTC', 'sell')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('ETHBTC', 'buy'), ('IOTXETH', 'buy'), ('IOTXBTC', 'sell')], Profit Ratio = 1.0146
Arbitrage Opportunity: Chain = [('ETHBTC', 'buy'), ('SSVETH', 'buy'), ('SSVBTC', 'sell')], Profit Ratio = 1.0080
Arbitrage Opportunity: Chain = [('SLFBTC', 'buy'), ('SLFUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0053
Arbitrage Opportunity: Chain = [('SLFBTC', 'buy'), ('SLFUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0048
Arbitrage Opportunity: Chain = [('SLFBTC', 'buy'), ('SLFTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0051
Arbitrage Opportunity: Chain = [('WBTC', 'buy'), ('WUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0064
Arbitrage Opportunity: Chain = [('WBTC', 'buy'), ('WUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0064
Arbitrage Opportunity: Chain = [('WBTC', 'buy'), ('WTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0070
Arbitrage Opportunity: Chain = [('WBTC', 'buy'), ('WFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALAUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0055
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALAUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALATRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0040
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALABNB', 'sell'), ('BNBBTC', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('GALABTC', 'buy'), ('GALAFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('PIVXBTC', 'buy'), ('PIVXUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('OPBTC', 'buy'), ('OPUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0051
Arbitrage Opportunity: Chain = [('OPBTC', 'buy'), ('OPUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0051
Arbitrage Opportunity: Chain = [('OPBTC', 'buy'), ('OPETH', 'sell'), ('ETHBTC', 'sell')], Profit Ratio = 1.0055
Arbitrage Opportunity: Chain = [('OPBTC', 'buy'), ('OPTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0038
Arbitrage Opportunity: Chain = [('OPBTC', 'buy'), ('OPFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('REDBTC', 'buy'), ('REDTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0023
Arbitrage Opportunity: Chain = [('NKNBTC', 'buy'), ('NKNUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0134
Arbitrage Opportunity: Chain = [('ILVBTC', 'buy'), ('ILVUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0151
Arbitrage Opportunity: Chain = [('ATABTC', 'buy'), ('ATAUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('SUPERTRY', 'buy'), ('SUPERBTC', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ETHFITRY', 'buy'), ('ETHFIBTC', 'sell')], Profit Ratio = 1.2210
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ROSETRY', 'buy'), ('ROSEBTC', 'sell')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BTCTRY', 'sell'), ('ARBTRY', 'buy'), ('ARBBTC', 'sell')], Profit Ratio = 1.0030
