Arbitrage Opportunity: Chain = [('ETHBTC', 'sell'), ('VETBTC', 'buy'), ('VETETH', 'sell')], Profit Ratio = 1.0271
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('GALAFDUSD', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1179
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('THEUSDC', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3806
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('GALAUSDC', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('BNBEUR', 'sell'), ('WINEUR', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2122
Arbitrage Opportunity: Chain = [('BNBEUR', 'sell'), ('GALAEUR', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('BNBBRL', 'sell'), ('GALABRL', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1242
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('WINUSDT', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2118
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('GALAUSDT', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('THEUSDT', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3646
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('THETRY', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3660
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('GALATRY', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1202
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('GALABTC', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('THEBTC', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3762
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('VETBTC', 'buy'), ('VETBNB', 'sell')], Profit Ratio = 1.0252
Arbitrage Opportunity: Chain = [('BNBETH', 'sell'), ('GALAETH', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1225
Arbitrage Opportunity: Chain = [('ALICEUSDT', 'buy'), ('ALICEBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.2567
Arbitrage Opportunity: Chain = [('FDUSDUSDT', 'buy'), ('RSRFDUSD', 'buy'), ('RSRUSDT', 'sell')], Profit Ratio = 1.0995
Arbitrage Opportunity: Chain = [('WINUSDT', 'buy'), ('WINBNB', 'sell'), ('BNBUSDT', 'sell')], Profit Ratio = 1.2118
Arbitrage Opportunity: Chain = [('FIOUSDT', 'buy'), ('FIOBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.0485
Arbitrage Opportunity: Chain = [('VIDTUSDT', 'buy'), ('VIDTBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.0230
Arbitrage Opportunity: Chain = [('USDTTRY', 'sell'), ('BNXTRY', 'buy'), ('BNXUSDT', 'sell')], Profit Ratio = 1.0380
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('CELRBTC', 'buy'), ('CELRUSDT', 'sell')], Profit Ratio = 1.0414
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('ONEBTC', 'buy'), ('ONEUSDT', 'sell')], Profit Ratio = 1.0509
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('TRUBTC', 'buy'), ('TRUUSDT', 'sell')], Profit Ratio = 1.0216
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('RVNBTC', 'buy'), ('RVNUSDT', 'sell')], Profit Ratio = 1.0819
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('VETBTC', 'buy'), ('VETUSDT', 'sell')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('BTCUSDT', 'buy'), ('SYSBTC', 'buy'), ('SYSUSDT', 'sell')], Profit Ratio = 1.0254
Arbitrage Opportunity: Chain = [('PERPUSDT', 'buy'), ('PERPBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.1266
Arbitrage Opportunity: Chain = [('GALAUSDT', 'buy'), ('GALABNB', 'sell'), ('BNBUSDT', 'sell')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('TURBOUSDT', 'buy'), ('TURBOFDUSD', 'sell'), ('FDUSDUSDT', 'sell')], Profit Ratio = 1.2253
Arbitrage Opportunity: Chain = [('IDEXUSDT', 'buy'), ('IDEXBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.2547
Arbitrage Opportunity: Chain = [('ARPAUSDT', 'buy'), ('ARPABTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.0279
Arbitrage Opportunity: Chain = [('PEOPLEUSDT', 'buy'), ('PEOPLEBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.0440
Arbitrage Opportunity: Chain = [('LQTYUSDT', 'buy'), ('LQTYBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.1236
Arbitrage Opportunity: Chain = [('THEUSDT', 'buy'), ('THEBNB', 'sell'), ('BNBUSDT', 'sell')], Profit Ratio = 1.3646
Arbitrage Opportunity: Chain = [('ETHFIUSDT', 'buy'), ('ETHFIBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('MBOXUSDT', 'buy'), ('MBOXBTC', 'sell'), ('BTCUSDT', 'sell')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('WINTRX', 'buy'), ('WINBNB', 'sell'), ('TRXBNB', 'buy')], Profit Ratio = 1.2145
Arbitrage Opportunity: Chain = [('SYSUSDT', 'sell'), ('BTCUSDT', 'buy'), ('SYSBTC', 'buy')], Profit Ratio = 1.0254
Arbitrage Opportunity: Chain = [('IOTXBTC', 'sell'), ('BTCJPY', 'sell'), ('IOTXJPY', 'buy')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('VETTRY', 'sell'), ('BTCTRY', 'buy'), ('VETBTC', 'buy')], Profit Ratio = 1.0262
Arbitrage Opportunity: Chain = [('VETUSDT', 'sell'), ('BTCUSDT', 'buy'), ('VETBTC', 'buy')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('VETBNB', 'sell'), ('BNBBTC', 'sell'), ('VETBTC', 'buy')], Profit Ratio = 1.0252
Arbitrage Opportunity: Chain = [('VETEUR', 'sell'), ('BTCEUR', 'buy'), ('VETBTC', 'buy')], Profit Ratio = 1.0250
Arbitrage Opportunity: Chain = [('VETETH', 'sell'), ('ETHBTC', 'sell'), ('VETBTC', 'buy')], Profit Ratio = 1.0271
Arbitrage Opportunity: Chain = [('RVNTRY', 'sell'), ('BTCTRY', 'buy'), ('RVNBTC', 'buy')], Profit Ratio = 1.0797
Arbitrage Opportunity: Chain = [('RVNUSDT', 'sell'), ('BTCUSDT', 'buy'), ('RVNBTC', 'buy')], Profit Ratio = 1.0819
Arbitrage Opportunity: Chain = [('USDCTRY', 'sell'), ('BNXTRY', 'buy'), ('BNXUSDC', 'sell')], Profit Ratio = 1.0359
Arbitrage Opportunity: Chain = [('THEUSDC', 'buy'), ('THEBNB', 'sell'), ('BNBUSDC', 'sell')], Profit Ratio = 1.3806
Arbitrage Opportunity: Chain = [('ETHFIUSDC', 'buy'), ('ETHFIBTC', 'sell'), ('BTCUSDC', 'sell')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('FDUSDUSDC', 'buy'), ('RSRFDUSD', 'buy'), ('RSRUSDC', 'sell')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('GALAUSDC', 'buy'), ('GALABNB', 'sell'), ('BNBUSDC', 'sell')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('TURBOUSDC', 'buy'), ('TURBOFDUSD', 'sell'), ('FDUSDUSDC', 'sell')], Profit Ratio = 1.2279
Arbitrage Opportunity: Chain = [('IDEXUSDC', 'buy'), ('IDEXBTC', 'sell'), ('BTCUSDC', 'sell')], Profit Ratio = 1.2531
Arbitrage Opportunity: Chain = [('PEOPLEUSDC', 'buy'), ('PEOPLEBTC', 'sell'), ('BTCUSDC', 'sell')], Profit Ratio = 1.0425
Arbitrage Opportunity: Chain = [('CELRUSDT', 'sell'), ('BTCUSDT', 'buy'), ('CELRBTC', 'buy')], Profit Ratio = 1.0414
Arbitrage Opportunity: Chain = [('ONETRY', 'sell'), ('BTCTRY', 'buy'), ('ONEBTC', 'buy')], Profit Ratio = 1.0476
Arbitrage Opportunity: Chain = [('ONEUSDT', 'sell'), ('BTCUSDT', 'buy'), ('ONEBTC', 'buy')], Profit Ratio = 1.0509
Arbitrage Opportunity: Chain = [('WINBNB', 'sell'), ('TRXBNB', 'buy'), ('WINTRX', 'buy')], Profit Ratio = 1.2145
Arbitrage Opportunity: Chain = [('WINBNB', 'sell'), ('BNBEUR', 'sell'), ('WINEUR', 'buy')], Profit Ratio = 1.2122
Arbitrage Opportunity: Chain = [('WINBNB', 'sell'), ('BNBUSDT', 'sell'), ('WINUSDT', 'buy')], Profit Ratio = 1.2118
Arbitrage Opportunity: Chain = [('ARPABTC', 'sell'), ('BTCUSDT', 'sell'), ('ARPAUSDT', 'buy')], Profit Ratio = 1.0279
Arbitrage Opportunity: Chain = [('ARPABTC', 'sell'), ('BTCTRY', 'sell'), ('ARPATRY', 'buy')], Profit Ratio = 1.0274
Arbitrage Opportunity: Chain = [('BTCTRY', 'buy'), ('ONEBTC', 'buy'), ('ONETRY', 'sell')], Profit Ratio = 1.0476
Arbitrage Opportunity: Chain = [('BTCTRY', 'buy'), ('RVNBTC', 'buy'), ('RVNTRY', 'sell')], Profit Ratio = 1.0797
Arbitrage Opportunity: Chain = [('BTCTRY', 'buy'), ('VETBTC', 'buy'), ('VETTRY', 'sell')], Profit Ratio = 1.0262
Arbitrage Opportunity: Chain = [('THETRY', 'buy'), ('THEBNB', 'sell'), ('BNBTRY', 'sell')], Profit Ratio = 1.3660
Arbitrage Opportunity: Chain = [('ALICETRY', 'buy'), ('ALICEBTC', 'sell'), ('BTCTRY', 'sell')], Profit Ratio = 1.2622
Arbitrage Opportunity: Chain = [('ETHFITRY', 'buy'), ('ETHFIBTC', 'sell'), ('BTCTRY', 'sell')], Profit Ratio = 1.2206
Arbitrage Opportunity: Chain = [('FDUSDTRY', 'buy'), ('RSRFDUSD', 'buy'), ('RSRTRY', 'sell')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('BNXTRY', 'buy'), ('BNXUSDC', 'sell'), ('USDCTRY', 'sell')], Profit Ratio = 1.0359
Arbitrage Opportunity: Chain = [('BNXTRY', 'buy'), ('BNXUSDT', 'sell'), ('USDTTRY', 'sell')], Profit Ratio = 1.0380
Arbitrage Opportunity: Chain = [('GALATRY', 'buy'), ('GALABNB', 'sell'), ('BNBTRY', 'sell')], Profit Ratio = 1.1202
Arbitrage Opportunity: Chain = [('MBOXTRY', 'buy'), ('MBOXBTC', 'sell'), ('BTCTRY', 'sell')], Profit Ratio = 1.2530
Arbitrage Opportunity: Chain = [('TURBOTRY', 'buy'), ('TURBOFDUSD', 'sell'), ('FDUSDTRY', 'sell')], Profit Ratio = 1.2262
Arbitrage Opportunity: Chain = [('ARPATRY', 'buy'), ('ARPABTC', 'sell'), ('BTCTRY', 'sell')], Profit Ratio = 1.0274
Arbitrage Opportunity: Chain = [('PEOPLETRY', 'buy'), ('PEOPLEBTC', 'sell'), ('BTCTRY', 'sell')], Profit Ratio = 1.0457
Arbitrage Opportunity: Chain = [('BTCEUR', 'buy'), ('VETBTC', 'buy'), ('VETEUR', 'sell')], Profit Ratio = 1.0250
Arbitrage Opportunity: Chain = [('WINEUR', 'buy'), ('WINBNB', 'sell'), ('BNBEUR', 'sell')], Profit Ratio = 1.2122
Arbitrage Opportunity: Chain = [('GALAEUR', 'buy'), ('GALABNB', 'sell'), ('BNBEUR', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('FIOBTC', 'sell'), ('BTCUSDT', 'sell'), ('FIOUSDT', 'buy')], Profit Ratio = 1.0485
Arbitrage Opportunity: Chain = [('IDEXBTC', 'sell'), ('BTCFDUSD', 'sell'), ('IDEXFDUSD', 'buy')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('IDEXBTC', 'sell'), ('BTCUSDC', 'sell'), ('IDEXUSDC', 'buy')], Profit Ratio = 1.2531
Arbitrage Opportunity: Chain = [('IDEXBTC', 'sell'), ('BTCUSDT', 'sell'), ('IDEXUSDT', 'buy')], Profit Ratio = 1.2547
Arbitrage Opportunity: Chain = [('RSRUSDC', 'sell'), ('FDUSDUSDC', 'buy'), ('RSRFDUSD', 'buy')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('RSRTRY', 'sell'), ('FDUSDTRY', 'buy'), ('RSRFDUSD', 'buy')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('RSRUSDT', 'sell'), ('FDUSDUSDT', 'buy'), ('RSRFDUSD', 'buy')], Profit Ratio = 1.0995
Arbitrage Opportunity: Chain = [('VIDTBTC', 'sell'), ('BTCUSDT', 'sell'), ('VIDTUSDT', 'buy')], Profit Ratio = 1.0230
Arbitrage Opportunity: Chain = [('GALABRL', 'buy'), ('GALABNB', 'sell'), ('BNBBRL', 'sell')], Profit Ratio = 1.1242
Arbitrage Opportunity: Chain = [('NEARETH', 'sell'), ('ETHJPY', 'sell'), ('NEARJPY', 'buy')], Profit Ratio = 1.0204
Arbitrage Opportunity: Chain = [('TRUUSDT', 'sell'), ('BTCUSDT', 'buy'), ('TRUBTC', 'buy')], Profit Ratio = 1.0216
Arbitrage Opportunity: Chain = [('ALICEBTC', 'sell'), ('BTCUSDT', 'sell'), ('ALICEUSDT', 'buy')], Profit Ratio = 1.2567
Arbitrage Opportunity: Chain = [('ALICEBTC', 'sell'), ('BTCTRY', 'sell'), ('ALICETRY', 'buy')], Profit Ratio = 1.2622
Arbitrage Opportunity: Chain = [('PERPBTC', 'sell'), ('BTCUSDT', 'sell'), ('PERPUSDT', 'buy')], Profit Ratio = 1.1266
Arbitrage Opportunity: Chain = [('MBOXBTC', 'sell'), ('BTCUSDT', 'sell'), ('MBOXUSDT', 'buy')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('MBOXBTC', 'sell'), ('BTCTRY', 'sell'), ('MBOXTRY', 'buy')], Profit Ratio = 1.2530
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBFDUSD', 'sell'), ('GALAFDUSD', 'buy')], Profit Ratio = 1.1179
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBUSDC', 'sell'), ('GALAUSDC', 'buy')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBEUR', 'sell'), ('GALAEUR', 'buy')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBBRL', 'sell'), ('GALABRL', 'buy')], Profit Ratio = 1.1242
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBUSDT', 'sell'), ('GALAUSDT', 'buy')], Profit Ratio = 1.1187
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBTRY', 'sell'), ('GALATRY', 'buy')], Profit Ratio = 1.1202
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBBTC', 'sell'), ('GALABTC', 'buy')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('GALABNB', 'sell'), ('BNBETH', 'sell'), ('GALAETH', 'buy')], Profit Ratio = 1.1225
Arbitrage Opportunity: Chain = [('BNXUSDC', 'sell'), ('USDCTRY', 'sell'), ('BNXTRY', 'buy')], Profit Ratio = 1.0359
Arbitrage Opportunity: Chain = [('BNXUSDT', 'sell'), ('USDTTRY', 'sell'), ('BNXTRY', 'buy')], Profit Ratio = 1.0380
Arbitrage Opportunity: Chain = [('PEOPLEBTC', 'sell'), ('BTCFDUSD', 'sell'), ('PEOPLEFDUSD', 'buy')], Profit Ratio = 1.0443
Arbitrage Opportunity: Chain = [('PEOPLEBTC', 'sell'), ('BTCUSDC', 'sell'), ('PEOPLEUSDC', 'buy')], Profit Ratio = 1.0425
Arbitrage Opportunity: Chain = [('PEOPLEBTC', 'sell'), ('BTCUSDT', 'sell'), ('PEOPLEUSDT', 'buy')], Profit Ratio = 1.0440
Arbitrage Opportunity: Chain = [('PEOPLEBTC', 'sell'), ('BTCTRY', 'sell'), ('PEOPLETRY', 'buy')], Profit Ratio = 1.0457
Arbitrage Opportunity: Chain = [('LQTYBTC', 'sell'), ('BTCUSDT', 'sell'), ('LQTYUSDT', 'buy')], Profit Ratio = 1.1236
Arbitrage Opportunity: Chain = [('FDUSDTRY', 'sell'), ('TURBOTRY', 'buy'), ('TURBOFDUSD', 'sell')], Profit Ratio = 1.2262
Arbitrage Opportunity: Chain = [('THEFDUSD', 'buy'), ('THEBNB', 'sell'), ('BNBFDUSD', 'sell')], Profit Ratio = 1.3821
Arbitrage Opportunity: Chain = [('ETHFIFDUSD', 'buy'), ('ETHFIBTC', 'sell'), ('BTCFDUSD', 'sell')], Profit Ratio = 1.2180
Arbitrage Opportunity: Chain = [('GALAFDUSD', 'buy'), ('GALABNB', 'sell'), ('BNBFDUSD', 'sell')], Profit Ratio = 1.1179
Arbitrage Opportunity: Chain = [('IDEXFDUSD', 'buy'), ('IDEXBTC', 'sell'), ('BTCFDUSD', 'sell')], Profit Ratio = 1.2537
Arbitrage Opportunity: Chain = [('FDUSDUSDC', 'sell'), ('TURBOUSDC', 'buy'), ('TURBOFDUSD', 'sell')], Profit Ratio = 1.2279
Arbitrage Opportunity: Chain = [('FDUSDUSDT', 'sell'), ('TURBOUSDT', 'buy'), ('TURBOFDUSD', 'sell')], Profit Ratio = 1.2253
Arbitrage Opportunity: Chain = [('RSRFDUSD', 'buy'), ('RSRUSDC', 'sell'), ('FDUSDUSDC', 'buy')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('RSRFDUSD', 'buy'), ('RSRTRY', 'sell'), ('FDUSDTRY', 'buy')], Profit Ratio = 1.1009
Arbitrage Opportunity: Chain = [('RSRFDUSD', 'buy'), ('RSRUSDT', 'sell'), ('FDUSDUSDT', 'buy')], Profit Ratio = 1.0995
Arbitrage Opportunity: Chain = [('PEOPLEFDUSD', 'buy'), ('PEOPLEBTC', 'sell'), ('BTCFDUSD', 'sell')], Profit Ratio = 1.0443
Arbitrage Opportunity: Chain = [('IOTXJPY', 'buy'), ('IOTXBTC', 'sell'), ('BTCJPY', 'sell')], Profit Ratio = 1.0259
Arbitrage Opportunity: Chain = [('NEARJPY', 'buy'), ('NEARETH', 'sell'), ('ETHJPY', 'sell')], Profit Ratio = 1.0204
Arbitrage Opportunity: Chain = [('ETHFIBTC', 'sell'), ('BTCFDUSD', 'sell'), ('ETHFIFDUSD', 'buy')], Profit Ratio = 1.2180
Arbitrage Opportunity: Chain = [('ETHFIBTC', 'sell'), ('BTCUSDC', 'sell'), ('ETHFIUSDC', 'buy')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('ETHFIBTC', 'sell'), ('BTCUSDT', 'sell'), ('ETHFIUSDT', 'buy')], Profit Ratio = 1.2181
Arbitrage Opportunity: Chain = [('ETHFIBTC', 'sell'), ('BTCTRY', 'sell'), ('ETHFITRY', 'buy')], Profit Ratio = 1.2206
Arbitrage Opportunity: Chain = [('TURBOFDUSD', 'sell'), ('FDUSDTRY', 'sell'), ('TURBOTRY', 'buy')], Profit Ratio = 1.2262
Arbitrage Opportunity: Chain = [('TURBOFDUSD', 'sell'), ('FDUSDUSDC', 'sell'), ('TURBOUSDC', 'buy')], Profit Ratio = 1.2279
Arbitrage Opportunity: Chain = [('TURBOFDUSD', 'sell'), ('FDUSDUSDT', 'sell'), ('TURBOUSDT', 'buy')], Profit Ratio = 1.2253
Arbitrage Opportunity: Chain = [('THEBNB', 'sell'), ('BNBFDUSD', 'sell'), ('THEFDUSD', 'buy')], Profit Ratio = 1.3821
Arbitrage Opportunity: Chain = [('THEBNB', 'sell'), ('BNBUSDC', 'sell'), ('THEUSDC', 'buy')], Profit Ratio = 1.3806
Arbitrage Opportunity: Chain = [('THEBNB', 'sell'), ('BNBUSDT', 'sell'), ('THEUSDT', 'buy')], Profit Ratio = 1.3646
Arbitrage Opportunity: Chain = [('THEBNB', 'sell'), ('BNBTRY', 'sell'), ('THETRY', 'buy')], Profit Ratio = 1.3660
Arbitrage Opportunity: Chain = [('THEBNB', 'sell'), ('BNBBTC', 'sell'), ('THEBTC', 'buy')], Profit Ratio = 1.3762
